"stasiun","Nama_Stasiun","Kota_Kabupaten","Nama_Kereta"
"http://id.dbpedia.org/resource/Stasiun_Bangil","Stasiun Bangil","Pasuruan","http://id.dbpedia.org/resource/Kereta_api_Mutiara_Timur"
"http://id.dbpedia.org/resource/Stasiun_Bangil","Stasiun Bangil","Pasuruan","http://id.dbpedia.org/resource/Kereta_api_Penataran"
"http://id.dbpedia.org/resource/Stasiun_Bangil","Stasiun Bangil","Pasuruan","http://id.dbpedia.org/resource/Kereta_api_Logawa"
"http://id.dbpedia.org/resource/Stasiun_Bangil","Stasiun Bangil","Pasuruan","http://id.dbpedia.org/resource/Kereta_api_Sri_Tanjung"
"http://id.dbpedia.org/resource/Stasiun_Bangil","Stasiun Bangil","Pasuruan","http://id.dbpedia.org/resource/Kereta_api_Tawang_Alun"
"http://id.dbpedia.org/resource/Stasiun_Gembong","Stasiun Gembong","Lamongan","http://id.dbpedia.org/resource/Kereta_api_Surabaya-Bojonegoro"
"http://id.dbpedia.org/resource/Stasiun_Gembong","Stasiun Gembong","Lamongan","http://id.dbpedia.org/resource/Kereta_api_Surabaya-Babat"
"http://id.dbpedia.org/resource/Stasiun_Porong","Stasiun Porong","Sidoarjo","http://id.dbpedia.org/resource/Kereta_api_Penataran"
"http://id.dbpedia.org/resource/Stasiun_Porong","Stasiun Porong","Sidoarjo","http://id.dbpedia.org/resource/Kereta_api_Delta_Ekspres"
"http://id.dbpedia.org/resource/Stasiun_Benowo","Stasiun Benowo","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Surabaya-Lamongan"
"http://id.dbpedia.org/resource/Stasiun_Benowo","Stasiun Benowo","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Surabaya-Bojonegoro"
"http://id.dbpedia.org/resource/Stasiun_Benowo","Stasiun Benowo","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Surabaya-Babat"
"http://id.dbpedia.org/resource/Stasiun_Kandangan","Stasiun Kandangan","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Surabaya-Lamongan"
"http://id.dbpedia.org/resource/Stasiun_Kandangan","Stasiun Kandangan","Surabaya","http://id.dbpedia.org/resource/Kereta_api_Surabaya-Bojonegoro"
